X,Y,id,zone,utm_zone,easting,northing,mgrs,dstrcts,dw,db,ds,drought,p_pr_sp,p_cnfrs,grwng_s,prdsp_w,rl_prdsp_w,prdsp_b,rl_prdsp_b,prdsp_s,rl_prdsp_s,prdsp__,prdsp_p,Fläch,MAPKEY,Wuchsge1,Wuchsnam,SRTMkomple
4681752.01975772,2730882.46913333,1,33,33,484710,5270340,33TVN,Leoben,1282.0031300000,1242.5273900000,575.2738700000,33.6457200000,0.5070400000,0.7887300000,327.0422500000,1303.5401100000,1.3969000000,669.0838900000,1.0156500000,304.9474500000,1.7191100000,1972.6239900000,0.6031700000,1108577098.0000000000,2638,4.2,Nrdliche Randalpen - Ostteil,604.0000000000
4472396.46285218,2716509.95463896,2,33,33,275010,5269920,33TTN,Kufstein,550.0582000000,752.3809500000,255.2354500000,41.1472600000,0.2619000000,0.6428600000,302.4047600000,763.2837000000,0.8179500000,794.7282900000,1.2063800000,220.4518400000,1.2427800000,1558.0119900000,0.5152100000,1000242764.0000000000,25E7,4.1,Nrdliche Randalpen - Westteil,1196.0000000000
4760347.16636541,2659598.56479697,3,33,33,558420,5193900,33TWM,Feldbach,45.3571400000,372.5674600000,6.3492100000,23.0968300000,0.0714300000,0.3571400000,378.5000000000,531.5957700000,0.5696700000,1217.6795300000,1.8484000000,150.4790100000,0.8483100000,1749.2753000000,0.4621600000,726136942.1000000238,DE,8.2,Subillyrisches Hgel- und Terrassenland,321.0000000000
4827420.81859212,2825012.38339107,4,33,33,636210,5354310,33UXP,Gnserndorf,33.3333300000,18.0409400000,8.7719300000,10.9231400000,0.0000000000,0.0526300000,174.6052600000,192.2425000000,0.2060100000,639.6554300000,0.9709800000,0.0000000000,0.0000000000,831.8979200000,0.4764400000,2575874612.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,142.0000000000
4785460.50225002,2847850.87949593,5,33,33,595860,5379960,33UWP,Gnserndorf,33.3333300000,18.0409400000,8.7719300000,10.9231400000,0.0000000000,0.0526300000,174.6052600000,192.2425000000,0.2060100000,639.6554300000,0.9709800000,0.0000000000,0.0000000000,831.8979200000,0.4764400000,2575874612.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,349.0000000000
4603168.85788666,2616020.73204189,6,33,33,398910,5160960,33TUM,Villach,305.3272500000,290.1750400000,131.2800600000,17.0503000000,0.2465800000,0.6438400000,358.7808200000,185.7173100000,0.1990200000,328.9055000000,0.4992700000,93.3281500000,0.5261300000,514.6228100000,0.1434400000,1157654716.0000000000,25F9,6.1,Sdliche Randgebirge,1777.0000000000
4818248.63758047,2862047.12607927,7,33,33,629520,5391870,33UXP,Gnserndorf,33.3333300000,18.0409400000,8.7719300000,10.9231400000,0.0000000000,0.0526300000,174.6052600000,192.2425000000,0.2060100000,639.6554300000,0.9709800000,0.0000000000,0.0000000000,831.8979200000,0.4764400000,2575874612.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,183.0000000000
4624896.09288318,2650433.73286559,8,33,33,422790,5193870,33TVM,Feldkirchen,1038.3680600000,305.2986100000,40.6250000000,21.2852500000,0.4062500000,0.7500000000,350.4375000000,932.9939600000,0.9998100000,322.9962800000,0.4903000000,159.8030500000,0.9008700000,1255.9902400000,0.3584100000,563828120.0000000000,25EB,1.3,Subkontinentale Innenalpen - Ostteil,1629.0000000000
4606009.89402573,2658581.6112805,9,33,33,404490,5203260,33TVN,Spittal an der Drau,719.4690300000,184.8230100000,23.3185800000,19.0200800000,0.4601800000,0.7610600000,365.6548700000,994.9850200000,1.0662400000,198.4705600000,0.3012700000,169.1868900000,0.9537700000,1193.4555800000,0.3263900000,2790113307.0000000000,25EB,1.3,Subkontinentale Innenalpen - Ostteil,1727.0000000000
4703409.76980616,2782119.7995841,10,33,33,509670,5319990,33UWP,Scheibbs,959.3806900000,484.1074700000,282.6958100000,28.8699000000,0.3770500000,0.6229500000,331.1639300000,979.3795800000,1.0495200000,704.3423800000,1.0691700000,288.4666700000,1.6262000000,1683.7219600000,0.5084300000,1028731105.0000000000,2638,4.2,Nrdliche Randalpen - Ostteil,495.0000000000
4654501.8149516,2818446.13523067,11,33,33,463290,5359530,33UVP,Freistadt,1097.5170100000,533.8888900000,137.8458000000,24.2947700000,0.5714300000,0.8367300000,382.8775500000,1634.4713400000,1.7515300000,788.2095800000,1.1964800000,321.0296500000,1.8097700000,2422.6809200000,0.6327600000,1010474133.0000000000,414,9.1,Mhlviertel,489.0000000000
4616964.67514645,2807432.76694867,12,33,33,425130,5351070,33UVP,Wels,3930.4444400000,2607.7555600000,206.6666700000,21.1163200000,0.4000000000,0.8000000000,409.6000000000,1419.6215700000,1.5212900000,1369.2151500000,2.0784300000,171.0178300000,0.9641000000,2788.8367200000,0.6808700000,760913406.8999999762,2617,7.2,Nrdl. Alpenvorland - Ostteil,280.0000000000
4486411.60312738,2666426.54139805,13,33,33,285750,5218980,33TTN,Zell am See (Pinzgau),1584.2475400000,982.9957800000,170.3234900000,46.6599900000,0.5189900000,0.6835400000,318.3038000000,1701.9760200000,1.8238700000,921.3940700000,1.3986500000,251.1103700000,1.4156100000,2623.3700900000,0.8241700000,2629466538.0000000000,25EB,1.3,Subkontinentale Innenalpen - Ostteil,2794.0000000000
4604808.77604129,2642303.24139835,14,33,33,402240,5187090,33TVM,Spittal an der Drau,719.4690300000,184.8230100000,23.3185800000,19.0200800000,0.4601800000,0.7610600000,365.6548700000,994.9850200000,1.0662400000,198.4705600000,0.3012700000,169.1868900000,0.9537700000,1193.4555800000,0.3263900000,2790113307.0000000000,25EB,1.3,Subkontinentale Innenalpen - Ostteil,1122.0000000000
4748730.95260656,2707399.5557082,15,33,33,549960,5242380,33TWN,Weiz,956.6276800000,148.4892800000,67.6023400000,30.0452600000,0.3684200000,0.7368400000,407.2105300000,1481.2970200000,1.5873800000,850.3993800000,1.2908800000,171.6775900000,0.9678200000,2331.6964000000,0.5726000000,1084865933.0000000000,D9,5.3,Ost- und Mittelsteirisches Bergland,805.0000000000
4608306.67588372,2836018.54522138,16,33,33,418380,5380170,33UVP,Rohrbach,883.8383800000,1046.4410800000,1635.7912500000,24.1785000000,0.4242400000,0.6666700000,410.1818200000,1171.3232900000,1.2552100000,602.1508300000,0.9140500000,375.8091600000,2.1185900000,1773.4741100000,0.4323600000,829566873.7999999523,414,9.1,Mhlviertel,625.0000000000
4730174.40000408,2851650.58502493,17,33,33,540960,5387520,33UWP,Horn,205.2046800000,413.2456100000,20.7602300000,15.1049500000,0.1315800000,0.4473700000,249.6315800000,160.5098400000,0.1720100000,498.4530000000,0.7566400000,59.2375100000,0.3339500000,658.9628400000,0.2639700000,1803085095.0000000000,CB,9.2,Waldviertel,465.0000000000
4607003.50843594,2781926.36684334,18,33,33,413520,5326290,33UVP,Wels,3930.4444400000,2607.7555600000,206.6666700000,21.1163200000,0.4000000000,0.8000000000,409.6000000000,1419.6215700000,1.5212900000,1369.2151500000,2.0784300000,171.0178300000,0.9641000000,2788.8367200000,0.6808700000,760913406.8999999762,2617,7.2,Nrdl. Alpenvorland - Ostteil,382.0000000000
