project_id,plotid,image_year,image_julday,dominant_landuse,dominant_landcover,change_process,change_process_notes,interpreter
Austria,6,1984,257,,Trees,,,129
Austria,6,2011,123,,,Harvest,,129
Austria,18,1984,193,Forest,Trees,,,129
Austria,18,1993,208,Forest,Trees,Stable,,129
Austria,18,1994,211,Forest,Trees,Harvest,thinning|smallArea,129
Austria,18,2016,201,Forest,Trees,Growth/Recovery,thinning,129
Austria,36,1984,218,Forest,Trees,,,129
Austria,36,2002,243,Forest,Trees,Stable,,129
Austria,36,2003,222,Forest,Non-tree,Harvest,clearcut|smallArea,129
Austria,36,2016,241,Forest,Trees,Growth/Recovery,,129
Austria,41,1984,193,Forest,Trees,,,129
Austria,41,2016,201,Forest,Trees,Stable,,129
Austria,46,1984,232,Forest,Trees,,,129
Austria,46,2010,216,Forest,Trees,Stable,,129
Austria,46,2011,226,Forest,Non-tree,Harvest,,129
Austria,46,2016,201,Forest,Non-tree,Growth/Recovery,,129
Austria,57,1984,234,Forest,Trees,,,129
Austria,57,2001,231,Forest,Trees,Stable,,129
Austria,57,2002,243,Forest,Shrubs,Harvest,,129
Austria,57,2016,217,Forest,Trees,Growth/Recovery,,129
Austria,58,1984,218,,,,,129
Austria,58,2016,209,,,,,129
Austria,62,1984,234,Agriculture,,,,129
Austria,62,2016,211,Agriculture,,,,129
Austria,70,1984,193,Forest,Trees,,,129
Austria,70,2016,193,Forest,Trees,Stable,,129
Austria,71,1984,218,Agriculture,Grass/forb/herb,,,129
Austria,71,2016,203,Agriculture,Grass/forb/herb,Stable,,129
Austria,72,1984,218,Developed,Impervious,,,129
Austria,72,2016,211,Developed,Impervious,Stable,,129
Austria,73,1984,248,Agriculture,Grass/forb/herb,,,129
Austria,73,2016,216,Agriculture,Grass/forb/herb,Stable,,129
Austria,74,1984,193,Agriculture,Grass/forb/herb,,,129
Austria,74,2016,208,Agriculture,Grass/forb/herb,Stable,,129
Austria,75,1984,296,Other,Barren,,,129
Austria,75,2016,216,Other,Barren,Stable,,129
Austria,76,1984,218,Agriculture,Grass/forb/herb,,,129
Austria,76,2016,217,Agriculture,Shrubs,Stable,,129
Austria,77,1984,218,Agriculture,Grass/forb/herb,,,129
Austria,77,2016,202,Agriculture,Grass/forb/herb,Stable,,129
Austria,78,1984,193,Forest,Trees,,,129
Austria,78,2016,216,Forest,Trees,Stable,,129
Austria,79,1984,218,Forest,Trees,,,129
Austria,79,2016,209,Forest,Trees,Stable,,129
Austria,80,1984,234,Forest,Trees,,,129
Austria,80,2016,217,Forest,Trees,Stable,,129
Austria,81,1984,248,Forest,Trees,,,129
Austria,81,2016,216,Forest,Trees,Stable,,129
Austria,82,1984,193,Forest,Trees,,,129
Austria,82,2016,217,Forest,Trees,Stable,,129
Austria,83,1984,218,Forest,Trees,,,129
Austria,83,2016,202,Forest,Trees,Stable,,129
Austria,84,1984,193,Forest,Trees,,,129
Austria,84,2004,215,Forest,Trees,Stable,,129
Austria,84,2005,210,Forest,Barren,Harvest,,129
Austria,84,2016,216,Forest,Trees,Growth/Recovery,,129
Austria,85,1984,193,Forest,Trees,,,129
Austria,85,2010,216,Forest,Trees,Stable,,129
Austria,85,2011,226,Forest,Shrubs,Harvest,,129
Austria,85,2016,217,Forest,Shrubs,Growth/Recovery,,129
Austria,86,1984,264,Other,Water,,,129
Austria,86,2016,208,Other,Water,Stable,,129
Austria,87,1984,193,Forest,Trees,,,129
Austria,87,2016,208,Forest,Trees,Stable,,129
Austria,88,1984,218,Forest,Trees,,,129
Austria,88,2016,209,Forest,Trees,Stable,,129
Austria,89,1984,234,Agriculture,Grass/forb/herb,,,129
Austria,89,2016,241,Agriculture,Grass/forb/herb,Stable,,129
Austria,90,1984,234,Agriculture,Grass/forb/herb,,,129
Austria,90,2016,209,Agriculture,Grass/forb/herb,Stable,,129
Austria,91,1984,218,Forest,Trees,,,129
Austria,91,2010,241,Forest,Trees,Stable,,129
Austria,91,2011,180,Agriculture,Grass/forb/herb,Harvest,,129
Austria,91,2016,217,Agriculture,Grass/forb/herb,Stable,,129
Austria,92,1984,248,Other,Barren,,,129
Austria,92,1990,152,Other,Barren,Stable,,129
Austria,92,1995,214,Forest,Trees,Growth/Recovery,,129
Austria,92,2016,216,Forest,Trees,Stable,,129
Austria,93,1984,193,Agriculture,Grass/forb/herb,,,129
Austria,93,2016,201,Agriculture,Grass/forb/herb,Stable,,129
Austria,94,1984,234,Forest,Trees,,,129
Austria,94,2016,209,Forest,Trees,Stable,,129
Austria,95,1984,218,Agriculture,Grass/forb/herb,,,129
Austria,95,2016,218,Agriculture,Grass/forb/herb,Stable,,129
Austria,1,1984,218,Other,Non-tree,,,130
Austria,1,2016,217,Other,Non-tree,Stable,,130
Austria,91,1984,218,,,,,130
Austria,91,2016,217,,,,,130
Austria,1,1984,218,Other,Non-tree,,,131
Austria,1,2016,217,Other,Non-tree,Stable,,131
Austria,2,1984,248,Forest,Trees,,,131
Austria,2,2016,215,Forest,Trees,Stable,,131
Austria,3,1984,218,Forest,Trees,,,131
Austria,3,1999,212,Forest,Trees,Stable,,131
Austria,3,2000,215,Forest,Non-tree,Harvest,clearcut,131
Austria,3,2016,226,Forest,Non-tree,Growth/Recovery,,131
Austria,4,1984,218,Other,Non-tree,,,131
Austria,4,2016,203,Other,Non-tree,Stable,,131
Austria,5,1984,218,Forest,Trees,,,131
Austria,5,2016,258,Forest,Trees,Stable,,131
Austria,6,1984,193,Other,Non-tree,,,131
Austria,6,2016,217,Other,Non-tree,Stable,,131
Austria,7,1984,218,Other,Non-tree,,,131
Austria,7,2016,211,Other,Non-tree,Stable,,131
Austria,8,1984,193,Forest,Non-tree,,,131
Austria,8,2016,217,Forest,Non-tree,Stable,,131
Austria,9,1984,193,Forest,Trees,,,131
Austria,9,2016,217,Forest,Trees,Stable,,131
Austria,10,1984,218,Forest,Trees,,,131
